Name,Year,Duration,Genre,Rating,Votes
Angaara,1996,127,"Action, Crime",4.3,30
Angaaray,1998,141,"Action, Crime, Drama",5.3,793
Angel,2011,114,"Action, Drama",6.3,84
Angoor,1982,131,Comedy,8.3,4924
Angoor,2005,106,Drama,6.1,53
Angrakshak,1995,116,"Action, Romance",4.4,167
Angrezi Medium,2020,145,"Comedy, Drama",7.3,11700
Angry Indian Goddesses,2015,121,"Comedy, Drama",7,2749
Angulimaal,1960,153,"Action, Adventure, Drama",6.1,28
Anhonee,1952,155,"Drama, Romance, Thriller",7.2,77
Anhonee,1973,127,"Drama, Romance, Thriller",7.1,40
Anita,1967,154,"Musical, Thriller, Mystery",6.4,120
Anjaam,1987,136,Thriller,5.3,12
Anjaam,1994,170,"Drama, Thriller",6.9,6093
Anjaana,1969,152,Romance,5.6,48
Anjaana Anjaani,2010,151,"Comedy, Drama, Musical",5.8,6416
Anjaane: The Unkown,2005,110,Horror,3.9,71
Anjan Hai Koyee,1969,133,"Action, Comedy, Crime",5.8,12
Anjaneya,2003,168,"Action, Crime, Drama",3.4,363
Anjaneyulu,2009,143,"Action, Comedy, Crime",4.8,324
Ankahee,1985,135,Drama,7.1,109
Ankahee,2006,151,"Biography, Drama, Romance",4.1,366
Ankhen,1968,172,"Action, Adventure, Drama",7.2,325
Ankhon Dekhi,2013,107,"Comedy, Drama",8,10673
Ankhon Mein Tum Ho,1997,151,Romance,5.5,46
Ankur Arora Murder Case,2013,129,"Drama, Thriller",6.5,1823
Ankur: The Seedling,1974,131,Drama,8,1185
Ankush,1986,149,"Action, Drama",7.5,398
Anmol,1993,163,"Drama, Family, Romance",5.6,128
Anmol Ghadi,1946,122,"Drama, Musical, Romance",7.3,63
Anmol Sitaare,1982,153,Drama,7,5
Anmol Tasveer,1978,77,"Drama, Family",7.9,9
Anna,2016,142,Biography,4.9,43
Annai Velankanni,1971,148,Drama,7.1,29
Annamalai,1992,164,"Action, Drama",7.7,1765
Anokha,1975,132,"Action, Comedy, Crime",4.9,18
Anokha Aspatal,1989,91,Comedy,6.3,13
Anokha Bandhan,1982,134,Drama,7.4,94
Anokha Milan,1972,125,Drama,6.3,19
Anokha Moti,2000,86,"Drama, Family",6.9,16
Anokhe Amar Shaheed Baba Deep Singh Ji,2006,154,History,6.6,9
Anokhi Ada,1948,141,"Drama, Musical, Romance",6.4,26
